komentar,cleaned,sentimen,emosi
yaa ampunn masss susah bangett loh masuk anestesinya padahal 😭,y ampu mausah bange loh masuk anestesi padahal,Negatif,Sedih
Titip salam buat napi lain pas uda masuk sel 😂,p salam buat napi pas uda masuk sel,Netral,Lainnya
buka maskernya woy,buka masker,Netral,Lainnya
Jadi santapan napi ni,jadi santapaapi,Netral,Lainnya
Balik ke dukun lagi aja apa yak,balie dukun ajpa,Negatif,Lainnya
Cabut gelar dokternta ngeri ih kl sampe nanti bebas msh bs praktek .takut makan korban lg,cabut gelar dokternta ngerh kl sampe bebas msh bs takut makan korban,Takut,Takut
"ilmu tanpa iman 😢, miriss",ilmu iman,Negatif,Sedih
Capek” sekolah cuma buat masuk penjara 😭😭😭,capek sekolah cuma buat masuk penjara,Negatif,Sedih
"@nshalsabillaregine @sindynhf mari power puff girl, kita jalankan misi taukan harus apa?☺️",poer pu jalan misi tau apa,Negatif,Lainnya
Ilmu tanpa Iman = Sia-sia,ilmu iman sia,Netral,Lainnya
Padahal berpendidikan yaaaa ko gitu,padahal pen y ko,Negatif,Lainnya
Please spill ig nya apa? 😳,please spi ig nypa,Negatif,Takut
"Liat berita padahal udh anak dan istri serta tinggal di rumah mewah, nyari apalagi sih di dunia ini?! udh dikasih ilmu, harta, keluarga, malah ngancurin hidup orang dan keluarganya bener2 ga abis pikir 😡",liat berita padahal udh anak istri tal rumah nyari sih dunia udh kasih malah ngancurin hidup orang keluarga bener gbis pikir,Negatif,Marah
Coba kasus Malpraktek juga diungkap dengan serius seperti ini. Pasti dunia medis di Indonesia bisa lebih tertib.,coba kasus malpraktek ungkap pasti dunia medis dndonesia lebih,Netral,Lainnya
Sayang gelarnya. Kita mah susah kuliah kedokteran karena biaya eh ini di siasiakan gitu aja gelarnya 😢,mah susah kuliah dokter biaya eh di kan gitu aja gelar,Negatif,Sedih
Kalau gak ketahuan lebih parah nih orang bakal terus dia lakuin ke pasien lainnya,kalau gaetahuan lebih parah nih orang bakal terus lakuin pasien,Negatif,Lainnya
"Mahasiswa S1 Maranatha, ambil spesialis di Unpad. Malu-maluin Unpad aja",mahasisa s maranathmbil spesialis malu maluin unpad,Negatif,Lainnya
masa dokter ga bisa beli ani',masa dokter ga beli ani,Netral,Lainnya
Tidak warginya tidak supoternya suka berulah juga ya😂,arginya supoternya suka ulah ya,Netral,Lainnya
"Yeee pake masker, takut kopit lo ?",ye pake takut kopit lo,Takut,Takut
Ngapain dipakein masker?,ngapain dipakein masker,Negatif,Lainnya
